Job_title,Salary_In_USD,Large_size,Mid_Level,Senior_Level,Exec_Level,Company_Location
Data Engineer,85000,0,0,1,0,1
Data Engineer,85000,0,0,1,0,1
Data Engineer,85000,0,0,1,0,1
Data Engineer,85000,0,0,1,0,1
Machine Learning Engineer,85000,0,0,1,0,1
Data Analyst,85000,0,1,0,0,0
Head of Data Science,85000,0,0,0,1,0
Machine Learning Engineer,85000,0,0,0,0,0
Data Analyst,85000,1,1,0,0,1
Data Analyst,85700,0,0,1,0,1
Data Engineer,86000,1,0,0,0,1
Data Engineer,86698,0,1,0,0,0
Data Analyst,86698,0,0,1,0,0
Data Engineer,86698,0,1,0,0,0
Data Scientist,86698,0,1,0,0,0
Lead Data Analyst,87000,1,1,0,0,1
Data Scientist,87738,0,0,1,0,0
Data Scientist,88100,0,0,1,0,1
Data Scientist,88100,0,0,1,0,1
Marketing Data Analyst,88654,1,0,1,0,0
Machine Learning Engineer,88654,0,1,0,0,0
Data Scientist,88654,1,1,0,0,0
Data Analyst,89200,0,0,1,0,1
Cloud Data Engineer,89294,1,1,0,0,0
Data Scientist,89494,0,1,0,0,0
Research Scientist,89494,1,0,1,0,0
Machine Learning Engineer,90000,0,1,0,0,1
Data Engineer,90000,0,0,1,0,1
Data Analyst,90000,0,0,1,0,1
Data Engineer,90000,0,0,1,0,1
Data Scientist,90000,0,1,0,0,1
Data Analyst,90000,0,1,0,0,1
Data Engineer,90000,1,1,0,0,1
Data Analyst,90000,0,0,0,0,1
Data Scientist,90000,0,0,0,0,1
Data Science Consultant,90000,0,0,0,0,1
Data Analyst,90320,0,0,1,0,1
Data Analyst,90320,0,0,1,0,1
Data Analyst,90320,0,0,1,0,1
Data Analyst,90320,0,0,1,0,1
Data Analyst,90320,0,0,1,0,1
Data Analyst,90320,0,0,1,0,1
Data Architect,90700,0,0,1,0,0
Data Scientist,90734,1,1,0,0,0
Data Scientist,90734,1,1,0,0,0
Data Analyst,91000,1,0,0,0,1
Data Scientist,91237,0,0,1,0,0
Data Engineer,91652,0,1,0,0,0
Data Scientist,92000,1,0,1,0,1
Data Scientist,92000,1,0,1,0,1
Data Operations Analyst,92250,0,0,1,0,1
Analytics Engineer,92891,0,0,1,0,0
Data Engineer,92891,0,1,0,0,0
Data Engineer,92891,0,1,0,0,0
Machine Learning Engineer,92891,0,1,0,0,0
Data Engineer,92891,0,1,0,0,0
Data Engineer,92891,0,1,0,0,0
Data Scientist,93000,0,0,0,0,1
Data Analyst,93000,1,1,0,0,1
Data Engineer,93150,0,1,0,0,1
Data Analyst,93700,0,0,1,0,1
Data Analyst,93700,0,0,1,0,1
Data Engineer,93700,0,0,1,0,1
Machine Learning Engineer,94564,1,0,1,0,0
Data Science Manager,94665,1,0,1,0,0
Data Analyst,95000,0,0,1,0,1
Data Analyst,95000,0,0,1,0,1
Data Analyst,95000,0,0,1,0,1
Data Specialist,95000,0,0,1,0,1
Data Scientist,95550,0,0,1,0,1
Computer Vision Software Engineer,95746,0,1,0,0,1
Research Scientist,96113,1,0,1,0,0
Lead Machine Learning Engineer,96209,1,0,1,0,0
Data Engineer,96282,1,0,1,0,0
Data Engineer,97000,0,0,1,0,1
Data Analyst,97500,1,1,0,0,1
Data Manager,98000,0,1,0,0,1
Data Manager,98000,0,1,0,0,1
BI Data Analyst,98000,0,1,0,0,1
ML Engineer,98200,1,1,0,0,1
Data Engineer,99000,0,0,1,0,1
Data Analyst,99000,0,0,1,0,1
Data Analyst,99000,0,0,1,0,1
Data Analyst,99000,0,0,1,0,1
Data Analyst,99050,0,0,1,0,1
Data Engineer,99084,0,1,0,0,0
Data Engineer,99084,0,1,0,0,0
Data Engineer,99084,0,1,0,0,0
Data Scientist,99084,0,0,1,0,0
Data Engineer,99100,0,0,1,0,1
Data Engineer,99100,0,1,0,0,1
Data Scientist,99360,0,0,1,0,1
Data Analyst,99450,0,0,1,0,1
Data Analyst,99450,0,0,1,0,1
Big Data Architect,99703,0,0,1,0,0
Data Analyst,99750,0,0,1,0,1
Data Scientist,100000,0,1,0,0,1
Data Engineer,100000,0,0,1,0,1
Data Analyst,100000,0,1,0,0,1
Data Analyst,100000,0,0,1,0,1
Data Analyst,100000,0,0,1,0,1
ML Engineer,100000,0,1,0,0,1
Data Scientist,100000,0,0,0,0,1
Data Operations Engineer,100000,0,1,0,0,1
Data Operations Engineer,100000,0,1,0,0,1
Data Engineer,100000,0,1,0,0,1
Analytics Engineer,100000,0,0,1,0,1
Data Operations Engineer,100000,0,1,0,0,1
Data Engineer,100000,0,0,1,0,1
Data Engineer,100000,1,0,1,0,1
Data Scientist,100000,1,0,1,0,1
Machine Learning Engineer,100000,0,0,1,0,1
Business Data Analyst,100000,1,0,1,0,1
Data Engineer,100000,0,0,1,0,1
Data Analyst,100000,0,0,1,0,1
Data Engineer,100000,0,0,1,0,1
Data Analyst,100000,0,0,1,0,1
Data Engineer,100000,0,0,1,0,1
Data Scientist,100000,0,0,1,0,1
Data Scientist,100000,0,1,0,0,1
Data Scientist,100000,0,0,0,0,1
Data Scientist,100000,0,0,0,0,0
Financial Data Analyst,100000,1,0,0,0,1
Machine Learning Developer,100000,0,0,0,0,0
Data Engineer,100000,1,1,0,0,1
BI Data Analyst,100000,0,1,0,0,1
Research Scientist,100000,1,0,0,0,0
Data Scientist,100000,0,0,0,0,1
Business Data Analyst,100000,1,0,0,0,1
Data Engineer,100800,1,0,1,0,1
Data Scientist,101570,0,0,1,0,1
Data Engineer,101570,0,0,1,0,1
Data Engineer,102100,0,0,1,0,1
Data Engineer,102100,0,0,1,0,1
Data Architect,102100,0,0,1,0,1
Data Analyst,102100,0,0,1,0,1
Data Scientist,102100,0,1,0,0,1
Data Scientist,102799,0,1,0,0,0
Head of Data,102839,1,0,1,0,0
Data Science Consultant,103000,1,1,0,0,1
Lead Data Engineer,103160,0,0,1,0,0
Analytics Engineer,103265,0,0,1,0,0
Data Scientist,103691,1,0,1,0,0
Data Scientist,104000,0,0,1,0,1
Analytics Engineer,104038,0,0,1,0,0
Data Scientist,104300,1,0,1,0,1
Data Scientist,104890,0,0,1,0,1
Data Operations Engineer,105000,0,0,1,0,1
Data Analyst,105000,0,1,0,0,1
Data Specialist,105000,1,0,0,0,1
Data Engineer,105000,0,0,1,0,1
Data Engineer,105000,0,0,1,0,1
Data Analyst,105000,0,0,1,0,1
Data Engineer,105000,0,0,1,0,1
Data Scientist,105000,1,1,0,0,1
Staff Data Scientist,105000,0,0,1,0,1
Data Scientist,105000,0,0,0,0,1
Data Engineer,105224,0,0,1,0,0
Data Engineer,105276,0,1,0,0,0
Data Analytics Manager,105400,0,0,1,0,1
Data Engineer,105700,1,0,1,0,1
Data Engineer,106000,1,1,0,0,1
Data Analyst,106260,0,1,0,0,1
Data Analyst,106260,0,0,1,0,1
Data Scientist,106800,0,0,1,0,1
Machine Learning Engineer,108000,0,0,0,0,1
Data Scientist,108000,1,1,0,0,1
Analytics Engineer,108000,0,1,0,0,1
Applied Machine Learning Scientist,108000,1,0,1,0,1
Data Engineer,108800,0,0,1,0,1
Data Scientist,109000,1,1,0,0,1
Big Data Engineer,109024,0,0,1,0,0
Data Analyst,109280,0,0,1,0,1
Data Analyst,109280,0,0,1,0,1
Data Analytics Manager,109280,0,0,1,0,1
Data Engineer,110000,0,0,1,0,1
Data Engineer,110000,0,0,1,0,1
Data Engineer,110000,0,0,1,0,1
Analytics Engineer,110000,0,0,1,0,1
Machine Learning Engineer,110000,0,0,1,0,0
Analytics Engineer,110000,0,0,1,0,1
Data Analyst,110000,0,0,1,0,1
Data Scientist,110000,0,0,0,0,0
Data Analyst,110000,0,0,0,1,1
Data Analytics Engineer,110000,1,1,0,0,1
Head of Data Science,110000,0,1,0,0,1
Data Engineer,110000,1,1,0,0,1
Data Engineer,110000,1,1,0,0,1
Applied Data Scientist,110037,1,0,0,0,0
Data Engineer,110500,0,0,1,0,1
Data Analyst,110600,0,0,1,0,1
Data Analyst,110600,0,0,1,0,1
Data Analyst,110600,0,0,1,0,1
Data Analyst,110925,0,0,1,0,1
Data Analyst,110925,0,0,1,0,1
Data Engineer,111469,0,1,0,0,0
Data Scientist,111469,0,1,0,0,0
Data Engineer,111469,0,1,0,0,0
Data Scientist,111469,0,0,1,0,0
Data Engineer,111775,0,1,0,0,1
Data Analyst,112000,0,1,0,0,1
Data Engineer,112000,1,1,0,0,1
Machine Learning Scientist,112300,1,1,0,0,1
Data Engineer,112872,1,1,0,0,0
Data Analyst,112900,0,0,1,0,1
Data Analyst,112900,0,0,1,0,1
Data Analyst,112900,0,0,1,0,1
Data Analyst,112900,0,0,1,0,1
Data Analyst,112900,0,0,1,0,1
Data Analyst,113000,0,0,1,0,1
Data Analyst,113000,1,1,0,0,1
Data Analytics Consultant,113000,1,1,0,0,1
Data Engineer,113000,1,0,1,0,1
Director of Data Engineering,113476,0,0,1,0,0
Data Architect,113900,0,0,1,0,1
Big Data Engineer,114047,0,0,1,0,0
Data Engineer,115000,0,0,1,0,1
Data Analyst,115000,0,0,1,0,1
Data Engineer,115000,0,0,1,0,1
Data Analyst,115000,1,0,1,0,1
Data Engineer,115000,0,0,1,0,1
Machine Learning Engineer,115000,1,0,0,0,1
Data Engineer,115000,0,0,1,0,1
Data Engineer,115000,0,0,1,0,1
Data Engineer,115000,0,0,1,0,1
Lead Data Scientist,115000,1,1,0,0,0
Data Scientist,115000,1,1,0,0,1
Data Scientist,115360,0,1,0,0,1
Data Analyst,115500,0,1,0,0,1
Data Scientist,115816,0,1,0,0,0
Data Analyst,115934,0,0,1,0,1
Data Analyst,115934,0,0,1,0,1
Data Analyst,115934,0,0,1,0,1
Data Analyst,116000,0,0,1,0,1
Lead Data Engineer,116073,0,0,0,1,0
Machine Learning Engineer,116100,0,0,1,0,0
Data Engineer,116100,0,0,0,1,1
Data Analyst,116150,0,0,1,0,1
Data Scientist,116914,1,1,0,0,0
Data Engineer,117000,0,0,1,0,1
Data Analyst,117000,0,0,1,0,1
Data Analyst,117000,0,0,1,0,1
Machine Learning Manager,117104,1,0,1,0,0
Machine Learning Engineer,117662,0,1,0,0,0
Data Scientist,118000,0,1,0,0,1
Data Scientist,118900,0,1,0,0,0
Data Analyst,119000,0,0,1,0,1
Data Scientist,119059,0,1,0,0,0
Data Scientist,119300,1,0,1,0,1
Data Scientist,119300,1,0,1,0,1
Data Scientist,120000,0,1,0,0,1
Data Analyst,120000,0,0,1,0,1
Data Scientist,120000,0,0,1,0,1
Analytics Engineer,120000,0,0,1,0,1
Data Scientist,120000,0,0,1,0,1
AI Scientist,120000,0,1,0,0,1
Data Scientist,120000,1,0,1,0,1
Machine Learning Engineer,120000,0,0,1,0,1
Data Scientist,120000,0,1,0,0,1
Machine Learning Engineer,120000,0,0,1,0,0
Machine Learning Engineer,120000,0,1,0,0,1
